geo_id,geo_level,pop_total,trials_per_100k,coverage_residual,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke,pct_poverty,median_hh_income,gini_index,pct_nhblack,pct_hispanic,pct_no_vehicle,pct_no_internet,pct_unemployed,pct_uninsured,pct_bachelors_plus,endo_per_100k,amc_count,has_ctsa,dist_nearest_trial_km,has_trial_site,county_trial_count,county_site_count,burden_decile,lat,lon,pop,pct_nhwhite,endo_count
31027,county,8375.0,0.0,0.0,8.1,28.3,5.1,17.4,8.4,10.4,7.2,14.0,8.6,6.0,23.3,14.8,40.5,2.6,5.3014925373134325,72035.0,0.4074,0.1432835820895522,2.3402985074626868,1.1926058437686344,16.42814549791294,1.958105646630237,6.0,23.3,0.0,0,0,39.56758559953855,False,0,0,0,42.576739,-97.250958,8380,95.60597014925374,0
31029,county,3704.0,0.0,0.0,11.9,29.4,5.5,17.7,9.7,14.0,9.7,16.3,10.9,7.4,27.7,14.9,37.3,2.9,8.04535637149028,57313.0,0.4638,0.3509719222462203,18.736501079913605,1.7591339648173208,9.607577807848443,2.6463963963963963,11.6,24.4,0.0,0,0,115.56664454848192,False,0,0,2,40.501955,-101.625629,3893,76.7818574514039,0
31031,county,5473.0,0.0,0.0,9.0,30.5,5.8,18.5,10.1,13.5,10.3,16.5,10.5,7.7,26.3,15.8,40.9,3.0,9.68390279554175,62373.0,0.4147,0.4750593824228028,2.1012241914854743,1.4691943127962086,14.218009478672986,0.4424778761061947,8.6,25.9,0.0,0,0,185.6497360187176,False,0,0,3,42.788407,-100.749694,5455,84.41439795359035,0
31033,county,9489.0,0.0,0.0,10.2,30.8,5.7,18.4,9.9,13.9,10.3,16.6,10.7,7.5,27.9,15.8,34.8,3.0,11.444830856781536,54038.0,0.4101,1.0643903467172515,8.167351670355147,1.6701461377870563,10.647181628392484,2.569502948609941,6.9,23.8,0.0,0,0,109.92561870735578,False,0,0,3,41.164852,-102.982567,9468,87.59616397934451,0
31035,county,6088.0,0.0,0.0,10.1,29.6,5.4,17.9,9.3,12.6,9.0,15.8,10.1,6.9,25.9,15.1,40.1,2.8,8.541392904073588,73933.0,0.426,0.3777923784494086,9.362680683311432,1.292929292929293,12.0,2.1589486858573217,8.1,21.6,0.0,0,0,43.27141113122049,False,0,0,1,40.547589,-98.027882,6104,88.05847568988173,0
31037,county,10563.0,0.0,0.0,20.7,29.6,5.8,14.3,11.9,19.8,12.6,20.2,15.6,9.6,31.8,14.0,39.0,3.1,10.006626905235256,71205.0,0.3885,3.2661175802328883,46.14219445233362,0.9126106194690266,12.223451327433628,1.6501650165016502,10.6,12.8,0.0,0,0,61.10262093392392,False,0,0,6,41.515594,-97.076357,10582,47.26876834232699,0
31039,county,9000.0,0.0,0.0,10.8,30.9,5.4,18.0,9.5,13.3,9.2,16.0,10.6,7.0,26.5,15.1,41.2,2.8,7.533333333333333,68917.0,0.4041,0.4333333333333333,10.3,0.7275666936135813,17.596335219617355,2.63321584076301,7.5,24.0,0.0,0,0,53.779504272416936,False,0,0,2,41.896856,-96.758441,9013,87.37777777777778,0
31043,county,21308.0,0.0,0.0,17.9,30.0,5.7,16.0,11.9,19.9,13.0,20.0,15.5,9.5,32.7,14.6,44.6,3.1,11.047493899005069,66112.0,0.4148,7.02083724422752,39.80195231837807,3.397855451886924,17.699484751427377,3.009450408294339,8.4,14.3,0.0,0,0,31.136212607823097,False,0,0,6,42.446864,-96.438647,21582,45.039421813403415,0
31045,county,8279.0,0.0,0.0,8.2,30.3,5.4,18.8,9.6,12.2,9.1,15.7,9.8,7.0,25.5,15.3,38.3,2.8,11.643918347626524,53760.0,0.3778,2.343278173692475,5.773644159922696,0.9184845005740528,11.050516647531571,1.509009009009009,8.6,36.0,0.0,0,0,123.10255209423322,False,0,0,2,42.786274,-103.066332,8199,85.27599951684986,0
31047,county,24037.0,0.0,0.0,18.5,31.8,5.9,15.8,11.9,19.9,13.1,20.3,15.3,9.5,32.0,14.4,41.4,3.1,14.053334442734116,67462.0,0.426,6.477513832841037,34.28048425344261,0.6696935300794552,13.132803632236095,2.053063802905875,11.3,16.0,0.0,0,0,66.90035666233797,False,0,0,6,40.827351,-99.856676,24111,56.217498023879855,0
31049,county,1858.0,0.0,0.0,10.2,30.9,5.6,19.1,9.7,13.5,9.8,16.2,10.5,7.3,26.3,15.7,39.8,2.9,7.104413347685684,58875.0,0.4808,0.1076426264800861,11.6254036598493,1.1614401858304295,11.033681765389083,3.820960698689957,12.7,20.8,0.0,0,0,172.04690867695405,False,0,0,2,41.090929,-102.33652,1838,84.71474703982777,0
31051,county,5579.0,0.0,0.0,12.7,29.8,5.8,17.1,10.1,15.2,10.8,17.7,11.6,7.9,29.2,15.2,43.6,3.0,9.284818067754076,60568.0,0.4879,0.1971679512457429,15.03853737228894,1.489841986455982,17.381489841986458,2.902557014512785,8.1,22.2,0.0,0,0,37.595771237981296,False,0,0,3,42.436803,-96.826061,5606,82.38035490231225,0
31057,county,1825.0,0.0,0.0,9.9,31.1,5.6,18.8,9.9,13.6,10.0,16.5,10.7,7.5,26.6,15.7,37.4,2.9,12.273972602739724,58977.0,0.4552,0.2191780821917808,1.4794520547945205,2.030456852791878,18.14720812182741,0.2047082906857728,5.8,26.3,0.0,0,0,112.74892434288684,False,0,0,3,40.089487,-101.59927,1654,97.26027397260276,0
31059,county,5557.0,0.0,0.0,8.8,29.4,5.2,18.1,9.2,11.3,8.0,15.0,9.2,6.4,26.2,15.0,42.0,2.7,6.748245456181393,72335.0,0.4761,0.2879251394637394,3.77901745546158,0.839278220730172,17.41502308015107,0.954261270154656,4.9,22.8,0.0,0,0,35.93853488433952,False,0,0,1,40.541248,-97.580053,5551,93.17977325895268,0
31061,county,2901.0,0.0,0.0,9.5,32.3,6.0,19.9,10.1,14.2,11.3,17.5,10.8,7.8,27.6,16.5,39.7,3.1,14.512237159600138,55625.0,0.4751,0.2068252326783867,2.8266115132712857,1.0358565737051793,13.625498007968128,2.4769992922859165,6.9,19.2,0.0,0,0,62.74794640969793,False,0,0,3,40.185987,-98.95454,2889,94.10548086866598,0
31063,county,2491.0,0.0,0.0,8.7,29.6,5.3,18.2,9.0,11.7,8.5,15.2,9.4,6.6,24.7,15.4,38.7,2.8,11.842633480529908,62928.0,0.392,1.1240465676435167,3.37213970293055,0.0968054211035818,22.168441432720236,4.4,10.4,23.4,0.0,0,0,49.72374229053409,False,0,0,1,40.609996,-100.398828,2519,92.33239662786028,0
31065,county,4630.0,0.0,0.0,10.1,31.3,5.8,18.8,9.9,14.1,10.3,16.7,10.5,7.4,26.6,15.8,44.9,3.0,10.928725701943844,58895.0,0.4244,0.3239740820734341,4.924406047516198,2.346480279580629,16.674987518721917,0.9817045961624274,8.2,21.4,0.0,0,0,73.32808005865067,False,0,0,3,40.250813,-99.934116,4636,92.35421166306696,0
